web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
"1609406693-3304","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=35","null","Osloer Str. 110, Gesundbrunnen, Berlin","169.500 €","42,91 m²","1 Zi.1","Provisionsfrei*","Aufzug","/expose/112553652"
"1609406260-2152","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=93","null","Charlottenburg, Berlin","185.500 €","44 m²","1 Zi.1","Balkon/Terrasse","Aufzug","/expose/125348319"
"1609406294-2252","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=88","null","Corinthstraße 43, Friedrichshain, Berlin","359.000 €","96,61 m²","3 Zi.3","null","null","/expose/116794784"
"1609406945-3965","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=2","Provisionsfrei: 2-Zimmer-Wohnung mit hellen, hohen Räumen","Britzer Straße 19, Niederschöneweide, Berlin","263.580 €","57,3 m²","2 Zi.2","Online-Besichtigung","Provisionsfrei*","/expose/111364078"
"1609406568-2946","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=53","null","Hektorstraße 11, Halensee, Berlin","399.000 €","53,07 m²","2 Zi.2","Online-Besichtigung","Provisionsfrei*","/expose/120027710"
"1609406631-3135","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=44","null","Althoffstraße 18, Steglitz, Berlin","307.000 €","71,98 m²","2 Zi.2","Provisionsfrei*","Keller","/expose/124696709"
"1609406576-2961","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=52","null","Lenaustraße 23, Neukölln (Ortsteil), Berlin","259.136 €","63,64 m²","2 Zi.2","Online-Besichtigung","Balkon/Terrasse","/expose/120610460"
"1609406371-2443","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=78","null","Ofener Straße 3a, Wedding, Berlin","146.000 €","36,11 m²","1 Zi.1","Provisionsfrei*","null","/expose/124123079"
"1609406338-2360","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=83","null","Werner-Kube-Straße 12, Prenzlauer Berg, Berlin","299.000 €","47,51 m²","2 Zi.2","Online-Besichtigung","Provisionsfrei*","/expose/122562198"
"1609406631-3137","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=44","null","Althoffstraße 18, Steglitz, Berlin","226.000 €","57,87 m²","2 Zi.2","Provisionsfrei*","Keller","/expose/124696579"
"1609406252-2136","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=94","null","Gaudystraße 1, Prenzlauer Berg, Berlin","628.000 €","59 m²","2 Zi.2","Provisionsfrei*","Balkon/Terrasse","/expose/124593081"
