web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
1609154098-1517,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=25,null,"Mitte (Ortsteil), Berlin",1.350.000 €,177 m²,6 Zi.6,Balkon/Terrasse,Einbauküche,/expose/119997940
1609153606-53,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=98,null,"Graefestraße 78, Kreuzberg, Berlin","277.817,91 €","49,95 m²",1 Zi.1,Online-Besichtigung,Provisionsfrei*,/expose/120609861
1609153817-698,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=66,null,"Schöneberg, Berlin",274.00 €,"65,83 m²",3 Zi.3,Online-Besichtigung,Balkon/Terrasse,/expose/120344763
1609154156-1687,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=16,null,"Wedding, Berlin",148.00 €,"43,85 m²",2 Zi.2,Einbauküche,Keller,/expose/123533475
1609154036-1316,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=35,null,"Wilmersdorf, Berlin",210.00 €,39 m²,1 Zi.1,Online-Besichtigung,Einbauküche,/expose/123993715
1609154129-1612,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=20,null,"Prenzlauer Berg, Berlin",798.00 €,"162,47 m²",5 Zi.5,Provisionsfrei*,Einbauküche,/expose/120039541
1609154171-1723,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=14,null,"Alt-Moabit 73 A, Moabit, Berlin",249.00 €,48 m²,2 Zi.2,Keller,null,/expose/115556897
1609154242-1937,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=4,Provisionsfreie sichere Kapitalanlage: Vermietete 2-Zimmer-Wohnung,"Reinickendorf (Ortsteil), Berlin",185.00 €,"64,65 m²",2 Zi.2,Online-Besichtigung,Provisionsfrei*,/expose/111659566
1609153788-601,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=70,null,"Voltastr. 4, Siemensstadt, Berlin",249.00 €,64 m²,2 Zi.2,Einbauküche,Keller,/expose/124845133
1609153817-697,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=66,null,"Schöneberg, Berlin",280.00 €,"66,86 m²",3 Zi.3,Online-Besichtigung,Balkon/Terrasse,/expose/120345096
